,Question,Actual,Prediction,TP,TN,FP,FN
3934,hiv good,Insincere,Sincere,0,0,0,1
1744,missing period pregnant case consult doctor able get virgin,Sincere,Sincere,0,1,0,0
1232,nanobots possible near future medical use,Sincere,Sincere,0,1,0,0
675,name use username,Sincere,Sincere,0,1,0,0
3501,since still demonstratively powerful imperial german navy seek challenge royal navy stalemate jutland,Insincere,Insincere,1,0,0,0
1314,english term mean,Sincere,Sincere,0,1,0,0
1243,big eazy e,Sincere,Insincere,0,0,1,0
1438,good height year old,Sincere,Sincere,0,1,0,0
1629,love girl,Sincere,Insincere,0,0,1,0
1953,instead blocking serotonin reuptake serotonin pill used,Sincere,Sincere,0,1,0,0
1946,way experience endorphin rush high without eating super hot capsaicin extract running marathon,Sincere,Sincere,0,1,0,0
1499,library like goa,Sincere,Sincere,0,1,0,0
1310,suitable time table upsc capf year,Sincere,Sincere,0,1,0,0
2857,smelly brown indian deserve live,Insincere,Insincere,1,0,0,0
2477,hindu extremist group rise india,Insincere,Insincere,1,0,0,0
313,experienced hair loss anti hiv medication,Sincere,Sincere,0,1,0,0
2996,russia jamming tomahawk missile cause many reach target,Insincere,Sincere,0,0,0,1
1089,good activity help build team work skill required astronaut,Sincere,Sincere,0,1,0,0
2249,problem pakistani people,Insincere,Insincere,1,0,0,0
281,many course hacking,Sincere,Sincere,0,1,0,0
1801,place small business owner get equity funding,Sincere,Sincere,0,1,0,0
